Timestamp,Disease,method,Variant,formula_display,formula,auc_roc,auc_pr,precision,recall,f1,f2,precision_at_recall_25,precision_at_recall_50,precision_at_recall_75,Best_Lit_Feature,Best_DD_Feature,Config_Used,Winning_Strategy,Winning_Temp
2026-05-24 17:27:47,ra,m3,gp,((-(rdw * mchc)) + (((sqrt(mcv) * (rdw * mchc)) - (-((log(hgb) * mchc) * (hgb + plt)))) / ((log(hgb) + (plt - hgb)) + (-wbc)))) * sqrt(((-((mcv * (log(log(hgb)) * (log(hgb) * mchc))) * ((log(hgb) * mchc) * (hgb + plt)))) / (((rbc * wbc) * sqrt(((rdw * (rdw * mchc)) - (-((log(hgb) * mchc) * (hgb + plt)))))) / ((-wbc) - log(hgb))))),"mul(add(neg(mul(rdw, mchc)), div(sub(mul(sqrt(mcv), mul(rdw, mchc)), neg(mul(mul(log(hgb), mchc), add(hgb, plt)))), add(add(log(hgb), sub(plt, hgb)), neg(wbc)))), sqrt(div(neg(mul(mul(mcv, mul(log(log(hgb)), mul(log(hgb), mchc))), mul(mul(log(hgb), mchc), add(hgb, plt)))), div(mul(mul(rbc, wbc), sqrt(sub(mul(rdw, mul(rdw, mchc)), neg(mul(mul(log(hgb), mchc), add(hgb, plt)))))), sub(neg(wbc), log(hgb))))))",0.5604,0.0474,0.0406,0.3081,0.0717,0.1329,0.0429,0.0356,0.0339,,,large,,
2026-05-24 17:27:47,ra,m3,gp,(-(mch * ((-(((wbc + mch) * rdw) * log(sqrt(rbc)))) / ((wbc + rbc) / (log((((wbc + mch) * rdw) * log(sqrt(rbc)))) + plt))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), log(sqrt(rbc)))), div(add(wbc, rbc), add(log(mul(mul(add(wbc, mch), rdw), log(sqrt(rbc)))), plt))))), div(sqrt(rbc), mul(mch, rdw)))",0.5777,0.051,0.043,0.3384,0.0763,0.1425,0.0516,0.038,0.0348,,,small,,
2026-05-24 17:27:47,ra,m3,gp,(-((((-plt) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(log(rdw) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / ((((rbc - hgb) * rdw) * sqrt((rbc * (-wbc)))) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / (rdw + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((rdw + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))),"div(neg(mul(add(sub(neg(plt), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(log(rdw), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(sub(rbc, hgb), rdw), sqrt(mul(rbc, neg(wbc)))), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(rdw, mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw)))))))",0.556,0.0457,0.0384,0.2778,0.0674,0.1236,0.0389,0.0352,0.0334,,,medium,,
2026-05-24 17:27:47,ra,m3,gp,((-((-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (((plt * rdw) / ((plt * rdw) - log(rdw))) / -0.072))) * (((rbc - (mchc / log(wbc))) * (plt * (-((rbc - (mchc / log(((sqrt(plt) * sqrt(mcv)) / (sqrt(mcv) - ((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (plt * rdw))))))) * (rdw * mchc))))) * rdw))) + (-wbc)) * (-((-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - (-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (plt * rdw)))))))) * (plt * rdw))))) * (((rbc - (mchc / log(wbc))) * (sqrt((-wbc)) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - log(hgb)))))) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - (-((rbc * wbc) * (plt * rdw)))))))) * (plt * rdw))))))) * rdw))),"mul(add(neg(mul(neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), div(div(mul(plt, rdw), sub(mul(plt, rdw), log(rdw))), -0.072))), mul(mul(sub(rbc, div(mchc, log(wbc))), mul(plt, neg(mul(sub(rbc, div(mchc, log(div(mul(sqrt(plt), sqrt(mcv)), sub(sqrt(mcv), mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), mul(plt, rdw))))))), mul(rdw, mchc))))), rdw))), neg(wbc)), neg(mul(neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), mul(plt, rdw)))))))), mul(plt, rdw))))), mul(mul(sub(rbc, div(mchc, log(wbc))), mul(sqrt(neg(wbc)), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), log(hgb)))))), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), neg(mul(mul(rbc, wbc), mul(plt, rdw)))))))), mul(plt, rdw))))))), rdw))))",0.5306,0.0399,0.0339,0.4848,0.0634,0.1325,0.033,0.0336,0.0325,,,large,,
2026-05-24 17:27:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
2026-05-24 17:27:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
2026-05-24 17:27:47,ra,m4,llm,(hgb / mchc) * (plt / (wbc + 1)) * (rdw / (mcv + 1)),(hgb / mchc) * (plt / (wbc + 1)) * (rdw / (mcv + 1)),0.5992,0.0422,0.0457,0.2323,0.0764,0.1279,0.0461,0.0399,0.0384,,,,blind,0.7
2026-05-24 17:27:47,ra,m4,llm,plt * (mchc - 30) / (hct + 0.01),plt * (mchc - 30) / (hct + 0.01),0.5847,0.0394,0.0369,0.6717,0.07,0.1513,0.048,0.0401,0.0364,,,,blind,1.0
2026-05-24 17:27:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
2026-05-24 17:28:47,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m1,lit,rdw > 16.0,rdw > 16.0,0.516,0.0325,0.0549,0.0707,0.0618,0.0669,0.0308,0.0308,0.0308,rdw,rdw,,,
2026-05-24 17:28:47,ra,m1,lit,rdw > 16.0,rdw > 16.0,0.516,0.0325,0.0549,0.0707,0.0618,0.0669,0.0308,0.0308,0.0308,rdw,rdw,,,
2026-05-24 17:28:47,ra,m1,lit,rbc < 4.0,rbc < 4.0,0.5256,0.0335,0.0557,0.1111,0.0742,0.0927,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m1,dd,rdw > 13.6,rdw > 13.6,0.5686,0.0364,0.0422,0.4899,0.0778,0.1571,0.0422,0.0422,0.0308,rdw,rdw,,,
2026-05-24 17:28:47,ra,m1,dd,rdw > 13.6,rdw > 13.6,0.5686,0.0364,0.0422,0.4899,0.0778,0.1571,0.0422,0.0422,0.0308,rdw,rdw,,,
2026-05-24 17:28:47,ra,m1,dd,rbc < 3.99,rbc < 3.99,0.5269,0.0338,0.058,0.1111,0.0763,0.0939,0.0308,0.0308,0.0308,rbc,rbc,,,
2026-05-24 17:28:47,ra,m2,random,((rbc**2)) / (abs(hct)+1e-6),((rbc**2)) / (abs(hct)+1e-6),0.6449,0.0546,0.0472,0.5808,0.0874,0.1782,0.0603,0.0482,0.0402,,,,,
2026-05-24 17:28:47,ra,m2,random,((rbc**2)) / (abs(hct)+1e-6),((rbc**2)) / (abs(hct)+1e-6),0.6449,0.0546,0.0472,0.5808,0.0874,0.1782,0.0603,0.0482,0.0402,,,,,
2026-05-24 17:28:47,ra,m2,random,(((wbc) + (sqrt(abs(mch)))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(log(abs(plt)+1))+1e-6),(((wbc) + (sqrt(abs(mch)))) / (abs(sqrt(abs(rdw)))+1e-6)) / (abs(log(abs(plt)+1))+1e-6),0.5385,0.0352,0.0387,0.0556,0.0456,0.0511,0.034,0.0336,0.0322,,,,,
2026-05-24 17:28:47,ra,m2,random,((((wbc**2)) - (sqrt(abs(mchc)))) + (mcv)) - (rdw),((((wbc**2)) - (sqrt(abs(mchc)))) + (mcv)) - (rdw),0.5532,0.0363,0.0323,0.3535,0.0591,0.1182,0.0335,0.0355,0.034,,,,,
2026-05-24 17:28:47,ra,m2,random,(((((sqrt(abs(rdw))) * (sqrt(abs(mcv)))) - (plt)) - ((mchc**2))) / (abs((rbc**2))+1e-6)) * (hct),(((((sqrt(abs(rdw))) * (sqrt(abs(mcv)))) - (plt)) - ((mchc**2))) / (abs((rbc**2))+1e-6)) * (hct),0.5865,0.0481,0.0451,0.4192,0.0814,0.1576,0.0504,0.0406,0.0346,,,,,
2026-05-24 17:28:47,ra,m3,gp,(rbc - (mchc / log(rbc))) * (plt + -0.236),"mul(sub(rbc, div(mchc, log(rbc))), add(plt, -0.236))",0.5589,0.0388,0.0355,0.6667,0.0675,0.1464,0.0403,0.039,0.0331,,,large,,
2026-05-24 17:28:47,ra,m3,gp,sqrt(((-((((mch * rdw) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(((-wbc) / (((rbc * wbc) * sqrt(mcv)) / ((-mch) - rdw))) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / (((rbc * rdw) * sqrt(mcv)) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / ((-0.812 - mch) + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((mch + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))))),"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.5816,0.0504,0.0492,0.2626,0.0829,0.1407,0.0514,0.0389,0.0341,,,medium,,
2026-05-24 17:28:47,ra,m3,gp,(-(mch * ((-(mch * ((-(((wbc + mch) * rdw) * sqrt(rbc))) / ((wbc + rbc) / (sqrt(rbc) + plt))))) / (sqrt(rbc) / (mch * rdw))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), sqrt(rbc))), div(add(wbc, rbc), add(sqrt(rbc), plt))))), div(sqrt(rbc), mul(mch, rdw))))), div(sqrt(rbc), mul(mch, rdw)))",0.6266,0.0609,0.0496,0.4646,0.0896,0.1738,0.0632,0.0449,0.038,,,small,,
2026-05-24 17:28:47,ra,m3,gp,(-(mch * ((-(mch * ((-(((wbc + mch) * rdw) * sqrt(rbc))) / ((wbc + rbc) / (sqrt(rbc) + plt))))) / (sqrt(rbc) / (mch * rdw))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), sqrt(rbc))), div(add(wbc, rbc), add(sqrt(rbc), plt))))), div(sqrt(rbc), mul(mch, rdw))))), div(sqrt(rbc), mul(mch, rdw)))",0.6266,0.0609,0.0496,0.4646,0.0896,0.1738,0.0632,0.0449,0.038,,,small,,
2026-05-24 17:28:47,ra,m3,gp,sqrt(((-((((mch * rdw) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(((-wbc) / (((rbc * wbc) * sqrt(mcv)) / ((-mch) - rdw))) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / (((rbc * rdw) * sqrt(mcv)) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / ((-0.812 - mch) + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((mch + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))))),"sqrt(div(neg(mul(add(sub(mul(mch, rdw), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(div(neg(wbc), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(mch), rdw))), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(rbc, rdw), sqrt(mcv)), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(sub(-0.812, mch), mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(mch, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw))))))))",0.5816,0.0504,0.0492,0.2626,0.0829,0.1407,0.0514,0.0389,0.0341,,,medium,,
2026-05-24 17:28:47,ra,m3,gp,((-(rdw * mchc)) + (((rbc * wbc) * sqrt(mcv)) / ((-wbc) - log(rdw)))) * ((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (mchc / log((((rbc * wbc) * sqrt(mcv)) / ((-wbc) - ((-wbc) - log(rdw)))))))))) * (plt * rdw)),"mul(add(neg(mul(rdw, mchc)), div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), log(rdw)))), mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(neg(wbc), sub(neg(wbc), log(rdw)))))))))), mul(plt, rdw)))",0.5121,0.0373,0.0321,0.6313,0.0611,0.1334,0.0283,0.0331,0.0318,,,large,,
2026-05-24 17:28:47,ra,m3,gp,sqrt(mchc) / ((hct / sqrt(mchc)) / ((-(mch * rdw)) / ((mcv - mch) / (rdw + plt)))),"div(sqrt(mchc), div(div(hct, sqrt(mchc)), div(neg(mul(mch, rdw)), div(sub(mcv, mch), add(rdw, plt)))))",0.5558,0.0384,0.0357,0.6263,0.0676,0.1455,0.0368,0.038,0.0334,,,small,,
2026-05-24 17:28:47,ra,m3,gp,((-(-(hgb + mchc))) + log((-((mch - mch) * (hgb + mchc))))) * ((sqrt((-(log(rdw) * (mch / rbc)))) - (plt - (rbc * (((-(hgb + mchc)) + log((-((sqrt(sqrt(wbc)) - ((rdw * mchc) * (mcv * plt))) * (hgb + mchc))))) * ((sqrt((rdw * mchc)) - (plt - ((rdw * mchc) * (mcv * plt)))) * ((-log(rdw)) - log((-(-0.443 / rbc))))))))) * ((-((rbc / mchc) + sqrt(rbc))) - log((-(-0.443 / rbc))))),"mul(add(neg(neg(add(hgb, mchc))), log(neg(mul(sub(mch, mch), add(hgb, mchc))))), mul(sub(sqrt(neg(mul(log(rdw), div(mch, rbc)))), sub(plt, mul(rbc, mul(add(neg(add(hgb, mchc)), log(neg(mul(sub(sqrt(sqrt(wbc)), mul(mul(rdw, mchc), mul(mcv, plt))), add(hgb, mchc))))), mul(sub(sqrt(mul(rdw, mchc)), sub(plt, mul(mul(rdw, mchc), mul(mcv, plt)))), sub(neg(log(rdw)), log(neg(div(-0.443, rbc))))))))), sub(neg(add(div(rbc, mchc), sqrt(rbc))), log(neg(div(-0.443, rbc))))))",0.5556,0.0383,0.0376,0.5253,0.0702,0.1462,0.0391,0.0374,0.0331,,,medium,,
2026-05-24 17:28:47,ra,m3,gp,((rdw * rdw) - ((((mchc - wbc) - (mch * mchc)) * ((((rdw - mchc) * (mchc - wbc)) + mch) + mch)) + ((-(mch * sqrt(((((-(mch * sqrt(((-(mch * sqrt((((-(mch * sqrt((((plt * mcv) / log(wbc)) - (sqrt(mch) - (-hct)))))) / log(wbc)) - ((-(mch * mch)) * rdw))))) * rdw)))) * rdw) / log(wbc)) - (rdw - (-hct)))))) * rdw))) * ((((((mchc - wbc) - ((-((rbc - rdw) * rdw)) - wbc)) * ((rbc - log((((plt * (-((rbc - rdw) * rdw))) / log(wbc)) - ((plt * mcv) / log(wbc))))) * plt)) * rdw) * rdw) * mch),"mul(sub(mul(rdw, rdw), add(mul(sub(sub(mchc, wbc), mul(mch, mchc)), add(add(mul(sub(rdw, mchc), sub(mchc, wbc)), mch), mch)), mul(neg(mul(mch, sqrt(sub(div(mul(neg(mul(mch, sqrt(mul(neg(mul(mch, sqrt(sub(div(neg(mul(mch, sqrt(sub(div(mul(plt, mcv), log(wbc)), sub(sqrt(mch), neg(hct)))))), log(wbc)), mul(neg(mul(mch, mch)), rdw))))), rdw)))), rdw), log(wbc)), sub(rdw, neg(hct)))))), rdw))), mul(mul(mul(mul(sub(sub(mchc, wbc), sub(neg(mul(sub(rbc, rdw), rdw)), wbc)), mul(sub(rbc, log(sub(div(mul(plt, neg(mul(sub(rbc, rdw), rdw))), log(wbc)), div(mul(plt, mcv), log(wbc))))), plt)), rdw), rdw), mch))",0.5665,0.0393,0.0395,0.4697,0.0729,0.1479,0.0398,0.0388,0.0341,,,large,,
2026-05-24 17:28:47,ra,m3,gp,(-(mch * (-(mch * rdw)))) / sqrt((-0.382 / plt)),"div(neg(mul(mch, neg(mul(mch, rdw)))), sqrt(div(-0.382, plt)))",0.6048,0.0547,0.058,0.399,0.1012,0.1833,0.062,0.0426,0.0349,,,small,,
2026-05-24 17:28:47,ra,m3,gp,sqrt(((-(((-log(mch)) * mchc) * (sqrt((rdw + (-(sqrt(hct) * mchc)))) * (sqrt(hct) * (-((-(rdw + (-(sqrt(hct) * mchc)))) * mchc)))))) / (((rbc * wbc) * (rbc / (sqrt(hct) + (plt * rdw)))) / ((-wbc) - log(rdw))))),"sqrt(div(neg(mul(mul(neg(log(mch)), mchc), mul(sqrt(add(rdw, neg(mul(sqrt(hct), mchc)))), mul(sqrt(hct), neg(mul(neg(add(rdw, neg(mul(sqrt(hct), mchc)))), mchc)))))), div(mul(mul(rbc, wbc), div(rbc, add(sqrt(hct), mul(plt, rdw)))), sub(neg(wbc), log(rdw)))))",0.5109,0.04,0.0323,0.1061,0.0495,0.0728,0.0377,0.0317,0.0309,,,medium,,
2026-05-24 17:28:47,ra,m3,gp,((-(rdw * mchc)) + (((sqrt(mcv) * (rdw * mchc)) - (-((log(hgb) * mchc) * (hgb + plt)))) / ((log(hgb) + (plt - hgb)) + (-wbc)))) * sqrt(((-((mcv * (log(log(hgb)) * (log(hgb) * mchc))) * ((log(hgb) * mchc) * (hgb + plt)))) / (((rbc * wbc) * sqrt(((rdw * (rdw * mchc)) - (-((log(hgb) * mchc) * (hgb + plt)))))) / ((-wbc) - log(hgb))))),"mul(add(neg(mul(rdw, mchc)), div(sub(mul(sqrt(mcv), mul(rdw, mchc)), neg(mul(mul(log(hgb), mchc), add(hgb, plt)))), add(add(log(hgb), sub(plt, hgb)), neg(wbc)))), sqrt(div(neg(mul(mul(mcv, mul(log(log(hgb)), mul(log(hgb), mchc))), mul(mul(log(hgb), mchc), add(hgb, plt)))), div(mul(mul(rbc, wbc), sqrt(sub(mul(rdw, mul(rdw, mchc)), neg(mul(mul(log(hgb), mchc), add(hgb, plt)))))), sub(neg(wbc), log(hgb))))))",0.5604,0.0474,0.0406,0.3081,0.0717,0.1329,0.0429,0.0356,0.0339,,,large,,
2026-05-24 17:28:47,ra,m3,gp,(-(mch * ((-(((wbc + mch) * rdw) * log(sqrt(rbc)))) / ((wbc + rbc) / (log((((wbc + mch) * rdw) * log(sqrt(rbc)))) + plt))))) / (sqrt(rbc) / (mch * rdw)),"div(neg(mul(mch, div(neg(mul(mul(add(wbc, mch), rdw), log(sqrt(rbc)))), div(add(wbc, rbc), add(log(mul(mul(add(wbc, mch), rdw), log(sqrt(rbc)))), plt))))), div(sqrt(rbc), mul(mch, rdw)))",0.5777,0.051,0.043,0.3384,0.0763,0.1425,0.0516,0.038,0.0348,,,small,,
2026-05-24 17:28:47,ra,m3,gp,(-((((-plt) - ((-(mch * rdw)) / ((hct / rbc) / (rdw + plt)))) + (-(plt * mchc))) * ((-(log(rdw) * ((rdw + 0.404) * (log((-mcv)) + (rbc - hgb))))) / ((((rbc - hgb) * rdw) * sqrt((rbc * (-wbc)))) / ((--0.337) - mch))))) / (((rbc * wbc) * (rbc / (rdw + (plt * rdw)))) / ((-wbc) - log(((-((rbc - hgb) * ((rdw + 0.404) * (-plt)))) / ((-0.812 - mch) + (plt * rdw)))))),"div(neg(mul(add(sub(neg(plt), div(neg(mul(mch, rdw)), div(div(hct, rbc), add(rdw, plt)))), neg(mul(plt, mchc))), div(neg(mul(log(rdw), mul(add(rdw, 0.404), add(log(neg(mcv)), sub(rbc, hgb))))), div(mul(mul(sub(rbc, hgb), rdw), sqrt(mul(rbc, neg(wbc)))), sub(neg(-0.337), mch))))), div(mul(mul(rbc, wbc), div(rbc, add(rdw, mul(plt, rdw)))), sub(neg(wbc), log(div(neg(mul(sub(rbc, hgb), mul(add(rdw, 0.404), neg(plt)))), add(sub(-0.812, mch), mul(plt, rdw)))))))",0.556,0.0457,0.0384,0.2778,0.0674,0.1236,0.0389,0.0352,0.0334,,,medium,,
2026-05-24 17:28:47,ra,m3,gp,((-((-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (((plt * rdw) / ((plt * rdw) - log(rdw))) / -0.072))) * (((rbc - (mchc / log(wbc))) * (plt * (-((rbc - (mchc / log(((sqrt(plt) * sqrt(mcv)) / (sqrt(mcv) - ((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (plt * rdw))))))) * (rdw * mchc))))) * rdw))) + (-wbc)) * (-((-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - (-((rbc - (mchc / log(((rbc * wbc) / ((-wbc) - log(rdw)))))) * (plt * rdw)))))))) * (plt * rdw))))) * (((rbc - (mchc / log(wbc))) * (sqrt((-wbc)) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - log(hgb)))))) * (-((rbc - (mchc / log((((rbc * wbc) * sqrt(mcv)) / (sqrt(mcv) - (-((rbc * wbc) * (plt * rdw)))))))) * (plt * rdw))))))) * rdw))),"mul(add(neg(mul(neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), div(div(mul(plt, rdw), sub(mul(plt, rdw), log(rdw))), -0.072))), mul(mul(sub(rbc, div(mchc, log(wbc))), mul(plt, neg(mul(sub(rbc, div(mchc, log(div(mul(sqrt(plt), sqrt(mcv)), sub(sqrt(mcv), mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), mul(plt, rdw))))))), mul(rdw, mchc))))), rdw))), neg(wbc)), neg(mul(neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), neg(mul(sub(rbc, div(mchc, log(div(mul(rbc, wbc), sub(neg(wbc), log(rdw)))))), mul(plt, rdw)))))))), mul(plt, rdw))))), mul(mul(sub(rbc, div(mchc, log(wbc))), mul(sqrt(neg(wbc)), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), log(hgb)))))), neg(mul(sub(rbc, div(mchc, log(div(mul(mul(rbc, wbc), sqrt(mcv)), sub(sqrt(mcv), neg(mul(mul(rbc, wbc), mul(plt, rdw)))))))), mul(plt, rdw))))))), rdw))))",0.5306,0.0399,0.0339,0.4848,0.0634,0.1325,0.033,0.0336,0.0325,,,large,,
2026-05-24 17:28:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
2026-05-24 17:28:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
2026-05-24 17:28:47,ra,m4,llm,(hgb / mchc) * (plt / (wbc + 1)) * (rdw / (mcv + 1)),(hgb / mchc) * (plt / (wbc + 1)) * (rdw / (mcv + 1)),0.5992,0.0422,0.0457,0.2323,0.0764,0.1279,0.0461,0.0399,0.0384,,,,blind,0.7
2026-05-24 17:28:47,ra,m4,llm,plt * (mchc - 30) / (hct + 0.01),plt * (mchc - 30) / (hct + 0.01),0.5847,0.0394,0.0369,0.6717,0.07,0.1513,0.048,0.0401,0.0364,,,,blind,1.0
2026-05-24 17:28:47,ra,m4,llm,(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),(hct - 40) * (plt - 100) * (rdw - 25) / (hgb - 100),0.5296,0.0364,0.0333,0.8333,0.064,0.1435,0.0301,0.0321,0.0348,,,,blind,0.7
